year,country,form,kg,coverage
2013,Australia,dried,56,full
2013,Australia,frozen,6.2,full
2013,China,dried,54942,full
2013,China,frozen,10.3,full
2013,Hong Kong,dried,11322,full
2013,Japan,frozen,1.4,full
2013,Kazakhstan,dried,1786,full
2013,New Zealand,dried,24152,full
2013,New Zealand,frozen,74725,full
2013,Others,dried,16,full
2013,Russia,dried,43140,full
2013,Russia,frozen,1.3,full
2013,Thailand,frozen,23,full
2013,USA,dried,20,full
2013,USA,frozen,0.1,full
2014,Australia,dried,55,full
2014,Australia,frozen,16.6,full
2014,Canada,frozen,0.4,full
2014,China,dried,78296,full
2014,China,frozen,5.2,full
2014,Hong Kong,dried,20976,full
2014,Japan,frozen,2.6,full
2014,Kazakhstan,dried,1986,full
2014,New Zealand,dried,14293,full
2014,New Zealand,frozen,74298,full
2014,Others,dried,17,full
2014,Russia,dried,34369,full
2014,Singapore,dried,2241,full
2014,USA,dried,30,full
2014,USA,frozen,0.8,full
2015,Australia,dried,25,full
2015,Australia,frozen,31.1,full
2015,Canada,frozen,1.3,full
2015,China,dried,60794,full
2015,China,frozen,7.8,full
2015,Hong Kong,dried,14500,full
2015,Kazakhstan,dried,2035,full
2015,New Zealand,dried,15803,full
2015,New Zealand,frozen,74025,full
2015,Others,dried,7,full
2015,Russia,dried,44523,full
2015,USA,dried,11,full
2015,USA,frozen,1.3,full
2015,Vietnam,frozen,0.5,full
2016,Australia,dried,19,full
2016,Australia,frozen,33,full
2016,China,dried,68902,full
2016,China,frozen,21.6,full
2016,Hong Kong,dried,23115,full
2016,Japan,frozen,0.7,full
2016,Kazakhstan,dried,1390,full
2016,New Zealand,dried,33554,full
2016,New Zealand,frozen,88922,full
2016,Others,dried,4,full
2016,Russia,dried,34275,full
2016,Russia,frozen,3.2,full
2016,Singapore,dried,1,full
2016,USA,dried,12,full
2016,USA,frozen,4,full
2017,Argentina,frozen,3.2,full
2017,Australia,dried,41,full
2017,Australia,frozen,19.6,full
