year,month,country,form,kg
2019,1,China,dried,6509.6
2019,1,Hong Kong,dried,353
2019,1,New Zealand,dried,2819.49
2019,1,New Zealand,frozen,7649.46
2019,1,Russia,dried,1338
2019,2,China,dried,4150
2019,2,Hong Kong,dried,3528.6
2019,2,New Zealand,dried,4578
2019,2,New Zealand,frozen,14807
2019,3,China,dried,7550.34
2019,3,Hong Kong,dried,400
2019,3,New Zealand,dried,6774.43
2019,3,New Zealand,frozen,24581.3
2019,4,China,dried,3178.3
2019,4,Hong Kong,dried,2026
2019,4,New Zealand,dried,5595.34
2019,4,New Zealand,frozen,4985.86
2019,4,Russia,dried,3017.16
2019,5,China,dried,13226
2019,5,Hong Kong,dried,1074.4
2019,5,New Zealand,dried,3111.18
2019,5,New Zealand,frozen,767.75
2019,6,China,dried,1860
2019,6,Hong Kong,dried,300
2019,6,New Zealand,dried,2560.46
2019,6,New Zealand,frozen,1200
2019,6,Russia,dried,3278.75
2019,6,Singapore,dried,500
2019,7,China,dried,13463.1
2019,7,Hong Kong,dried,2862
2019,7,New Zealand,dried,1433.5
2019,7,New Zealand,frozen,9500
2019,7,Russia,dried,441
2019,8,China,dried,2680
2019,8,Hong Kong,dried,1030
2019,8,New Zealand,dried,3537.51
2019,8,New Zealand,frozen,11990
2019,8,Russia,dried,520
2019,9,China,dried,4573.57
2019,9,Hong Kong,dried,621
2019,9,New Zealand,dried,5155.03
2019,9,Russia,dried,234
2019,10,China,dried,4956
2019,10,Hong Kong,dried,1405
2019,10,Kazakhstan,dried,140
2019,10,New Zealand,dried,1155.6
2019,10,New Zealand,frozen,1000
2019,10,Russia,dried,17911.4
2019,11,China,dried,2826.6
2019,11,Hong Kong,dried,3826
2019,11,Kazakhstan,dried,396
2019,11,New Zealand,dried,1300
2019,11,New Zealand,frozen,7300
2019,11,Russia,dried,9844.03
2019,12,China,dried,700
2019,12,Hong Kong,dried,400
2019,12,Kazakhstan,dried,165
2019,12,New Zealand,dried,6000
2019,12,New Zealand,frozen,15331.6
2019,12,Russia,dried,9851.65
2020,1,China,dried,7620
2020,1,Hong Kong,dried,2996.2
2020,1,Kazakhstan,dried,667
2020,1,New Zealand,dried,290.1
2020,1,New Zealand,frozen,6630
2020,1,Russia,dried,2262.8
2020,2,China,dried,3823
2020,2,Hong Kong,dried,400
2020,2,New Zealand,dried,6919.98
2020,2,New Zealand,frozen,15200
2020,2,Russia,dried,608.1
2020,3,China,dried,3970
2020,3,Hong Kong,dried,860
2020,3,New Zealand,dried,2720
2020,3,New Zealand,frozen,9223
2020,3,Russia,dried,336
2020,4,China,dried,7688
2020,4,Hong Kong,dried,2085
2020,4,New Zealand,frozen,12086
2020,5,China,dried,3829
2020,5,Hong Kong,dried,360
2020,5,New Zealand,dried,7824.41
2020,5,New Zealand,frozen,3610
2020,5,Russia,dried,1775.71
2020,6,China,dried,8451.62
2020,6,New Zealand,dried,5844.96
2020,6,New Zealand,frozen,6321.5
2020,6,Russia,dried,2114.3
2020,7,China,dried,6165
2020,7,Hong Kong,dried,410
2020,7,New Zealand,dried,4256.85
2020,7,New Zealand,frozen,8906.82
2020,7,Russia,dried,1158
2020,8,China,dried,5536.7
2020,8,Hong Kong,dried,400
2020,8,New Zealand,dried,3988.41
2020,8,New Zealand,frozen,4000
2020,8,Russia,dried,300.1
2020,9,China,dried,5250
2020,9,Hong Kong,dried,689.5
2020,9,Kazakhstan,dried,732.7
2020,9,Russia,dried,1693.9
2020,10,China,dried,7279
2020,10,Hong Kong,dried,1340
2020,10,Kazakhstan,dried,762.75
2020,10,Russia,dried,18702
2020,11,China,dried,6025
2020,11,Hong Kong,dried,750
2020,11,New Zealand,dried,3750.7
2020,11,Russia,dried,16630.9
2020,12,China,dried,12018
2020,12,Hong Kong,dried,3410
2020,12,Kazakhstan,dried,191
2020,12,New Zealand,dried,2030.54
2020,12,New Zealand,frozen,11500
2020,12,Russia,dried,8459.7
2021,1,China,dried,7215
2021,1,New Zealand,dried,1910.17
2021,1,New Zealand,frozen,23775
2021,1,Russia,dried,479
2021,2,China,dried,2346.36
2021,2,Hong Kong,dried,400
2021,2,New Zealand,dried,1278.38
2021,2,New Zealand,frozen,6300
2021,2,Russia,dried,2179.75
2021,3,China,dried,7977
2021,3,Hong Kong,dried,2800
2021,3,New Zealand,dried,4667.63
2021,3,Russia,dried,981
2021,4,China,dried,5300
2021,4,Hong Kong,dried,400
2021,4,New Zealand,dried,2408.74
2021,4,New Zealand,frozen,15700
2021,4,Russia,dried,313
2021,5,China,dried,8900
2021,5,Hong Kong,dried,1785.8
2021,5,New Zealand,dried,4557.59
2021,5,New Zealand,frozen,5500
2021,5,Russia,dried,1068
2021,6,Hong Kong,dried,400
2021,6,New Zealand,dried,3735.66
2021,6,New Zealand,frozen,7222.14
2021,7,China,dried,2050
2021,7,New Zealand,dried,1938.22
2021,7,New Zealand,frozen,5500
2021,7,Russia,dried,111.25
2021,8,China,dried,10141.9
