year,country,tonnes
2016,New Zealand,128
2016,Russia,96
2016,China,54
2016,Canada,22
2017,New Zealand,135
2017,Russia,101
2017,China,58
2017,Canada,24
2018,New Zealand,142
2018,Russia,98
2018,China,61
2018,Canada,25
2019,New Zealand,151
2019,Russia,92
2019,China,66
2019,Canada,27
2020,New Zealand,144
2020,Russia,74
2020,China,59
2020,Canada,23
2021,New Zealand,163
2021,Russia,69
2021,China,72
2021,Canada,28
2022,New Zealand,171
2022,Russia,58
2022,China,79
2022,Canada,30
2023,New Zealand,182
2023,Russia,55
2023,China,85
2023,Canada,31
2024,New Zealand,190
2024,Russia,52
2024,China,91
2024,Canada,33
2025,New Zealand,198
2025,Russia,50
2025,China,96
2025,Canada,34
