date,title,summary,source,url
2026-06-16,Individually approved health-functional food sales fall to five-year low,"Sales fell to KRW 666.2 billion in 2025, a third consecutive year of decline, though the pace of contraction is slowing.",Yakup.com,http://m.yakup.com/news/index.html?mode=view&cat=12&nid=328591
2026-05-18,Deer antler extract study on NK cell activation published in international journal,"Yuhan Care's YC-1101 (HENKIV) increased NK cell activation and proliferation, with enhanced tumour suppression in combination studies.",Chosun Biz,https://biz.chosun.com/industry/business_info/2026/05/18/YMFWLS4WNVHGZN4RXHUIVBZWMA/
2026-05-12,hy researcher wins science ministry award for muscle-health velvet ingredient,"Fermented deer velvet probiotic powder is currently Korea's only approved antler-based ingredient for muscle strength maintenance.",Food and Beverage News,https://www.thinkfood.co.kr/news/articleView.html?idxno=200261
2026-05-09,Biodot develops deer velvet-based natural ingredient platform,"The company imports raw velvet from New Zealand and Russia and is expanding into OEM/ODM and customised R&D services.",Korea Urban Environment Herald,https://www.kueherald.co.kr/news/articleView.html?idxno=58202
2026-04-28,KGC red ginseng research presented on global academic stage,"Studies presented at ICSB in the United States reported potential benefits in neuroprotection, blood glucose control and sleep quality.",The Bloter,https://www.bloter.net/news/articleView.html?idxno=660775
2026-04-15,Highest velvet yield at herds of 30 stags or fewer,"Farms with 30 head or fewer average 12.3kg of velvet per stag, the highest per-head production in a national farm survey.",The Korea Deer Times,
2026-04-15,Study claims domestic Korean velvet outperforms imports,"A Seowon University report commissioned by the Korea Deer Association found higher extraction yields in domestic elk velvet.",The Korea Deer Times,
2026-04-15,Why domestic velvet cannot supply traditional Korean medicine,"The 1996 herbal medicine standardisation policy still blocks direct farm sales into medical channels, keeping imports dominant there.",The Korea Deer Times,
2026-04-15,Korean deer farmers follow world deer biology congress remotely,"Research presented at the congress links first-year protein feeding levels to lifetime velvet productivity in stags.",The Korea Deer Times,
2026-04-08,Rory McIlroy hosts most expensive Champions Dinner in Masters history,"The USD 318-per-person menu included grilled elk sliders, reported in Korea as a venison burger.",Asia Business Daily,https://www.asiae.co.kr/article/2026040821482236121
2026-04-07,JungKwanJang launches children's nutrition campaign for Cheonnok Growing Kids,"The campaign products contain New Zealand SAT-grade deer velvet alongside red ginseng and herbal extracts.",Open News,https://www.onews.tv/news/articleView.html?idxno=278045
2026-03-30,Call for urgent research into PLS for the deer velvet farm sector,"The Korea Deer Breeders Association asked for residue data and safety standards for drugs used in velvet harvesting.",The Korea Deer Times,
2026-03-30,Aging workforce and high costs top challenges for Korean deer farmers,"A survey found 82.5% of deer farmers are in their 60s or 70s, with rising costs cited as the biggest internal obstacle.",The Korea Deer Times,
2026-03-30,Korean deer velvet self-sufficiency rate recovers to 20%,"The rise is attributed to a sharp fall in imports from 386 tonnes in 2023 to 279 tonnes in 2024, while domestic output edged up.",The Korea Deer Times,
2026-03-28,Haman county faces dilemma after culling sika deer following mascot launch,"Authorities culled abandoned sika deer a month after launching a deer mascot, prompting calls for non-lethal management.",Yonhap News,https://www.yna.co.kr/view/AKR20260327082100052
