"Harmonised Trade - Exports (Monthly)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Korea, Republic of","","","","","","","","","","China, People's Republic of","","","","","","","","","","Hong Kong (Special Administrative Region)","","","","","","","","","","Macau (Special Administrative Region)","","","","","","","","","","Taiwan","","","","","","","","","","Viet Nam","","","","","","","","",""
" ","Animal products; horns and antlers, of deer, unworked or simply prepared but not cut to shape, and waste of such (excluding powder)","","Animal products; velvet and waste products (excluding powder), of deer, unworked, frozen","","Animal products; velvet and waste products (excluding powder), of deer, unworked, dried","","Animal products; velvet and waste products (excluding powder) of deer, unworked, other than frozen or dried","","Animal products; powder of horns and velvet, of deer","","Animal products; horns and antlers, of deer, unworked or simply prepared but not cut to shape, and waste of such (excluding powder)","","Animal products; velvet and waste products (excluding powder), of deer, unworked, frozen","","Animal products; velvet and waste products (excluding powder), of deer, unworked, dried","","Animal products; velvet and waste products (excluding powder) of deer, unworked, other than frozen or dried","","Animal products; powder of horns and velvet, of deer","","Animal products; horns and antlers, of deer, unworked or simply prepared but not cut to shape, and waste of such (excluding powder)","","Animal products; velvet and waste products (excluding powder), of deer, unworked, frozen","","Animal products; velvet and waste products (excluding powder), of deer, unworked, dried","","Animal products; velvet and waste products (excluding powder) of deer, unworked, other than frozen or dried","","Animal products; powder of horns and velvet, of deer","","Animal products; horns and antlers, of deer, unworked or simply prepared but not cut to shape, and waste of such (excluding powder)","","Animal products; velvet and waste products (excluding powder), of deer, unworked, frozen","","Animal products; velvet and waste products (excluding powder), of deer, unworked, dried","","Animal products; velvet and waste products (excluding powder) of deer, unworked, other than frozen or dried","","Animal products; powder of horns and velvet, of deer","","Animal products; horns and antlers, of deer, unworked or simply prepared but not cut to shape, and waste of such (excluding powder)","","Animal products; velvet and waste products (excluding powder), of deer, unworked, frozen","","Animal products; velvet and waste products (excluding powder), of deer, unworked, dried","","Animal products; velvet and waste products (excluding powder) of deer, unworked, other than frozen or dried","","Animal products; powder of horns and velvet, of deer",""
" ","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board","Quantity","Free on board"
"2018M01",12000,1044073,17504,1520359,900,204722,0,0,0,0,0,0,36376,2584851,5000,71469,0,0,0,0,250,12976,2140,204040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1246,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018M02",9440,975731,14778,1514296,2991,908833,0,0,0,0,9727,1357266,88777,7815681,6,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12590,0,0,0,0,0,0,0,0,0,0,0,0
"2018M03",0,0,7653,673770,1120,453568,0,0,0,0,5040,283770,77666,6457272,0,0,0,0,0,0,0,0,2202,77066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882,45329,21,11364,0,0,10,4750,0,0,251,66034,0,0,0,0,0,0
"2018M04",6500,557021,0,0,2191,986028,0,0,0,0,11170,1755418,49293,4645133,11,1414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1233,52077,6,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018M05",1446,113500,6077,566586,1217,579484,0,0,0,0,0,0,41178,3423644,6,732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966,40446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018M06",1050,53604,1500,172000,4053,1755392,0,0,0,0,0,0,19290,1275552,55,7260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018M07",5537,440966,1672,120000,3130,1587301,0,0,0,0,5950,534335,0,0,55,7543,0,0,0,0,0,0,289,6194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2018M08",0,0,4000,634000,1232,363499,0,0,0,0,0,0,6037,240137,28,3805,0,0,0,0,0,0,0,0,6,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
