Year,Month,Trade,Basis,HS_Code,Product_KR,Product_EN,Country_KR,Country_EN,Quantity_kg,Value_USD1000
2019,1,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,뉴질랜드,New Zealand,21524.0,2961.0
2019,1,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,뉴질랜드,New Zealand,6663.0,459.0
2019,1,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,러시아 연방,Russia,3199.0,800.0
2019,1,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,호주,Australia,2.0,1.0
2019,1,Export,"Korea export customs (FOB, USD1000)",0507901190,기타,Others,홍콩,Hong Kong,694.0,150.0
2019,2,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,뉴질랜드,New Zealand,15820.0,2116.0
2019,2,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,뉴질랜드,New Zealand,8021.0,555.0
2019,2,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,러시아 연방,Russia,1249.0,313.0
2019,2,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,중국,China,1.0,0.0
2019,2,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,호주,Australia,2.0,1.0
2019,2,Export,"Korea export customs (FOB, USD1000)",0507901190,기타,Others,홍콩,Hong Kong,196.0,5.0
2019,3,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,뉴질랜드,New Zealand,23962.0,2978.0
2019,3,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,뉴질랜드,New Zealand,23.0,15.0
2019,3,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,러시아 연방,Russia,400.0,104.0
2019,3,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,호주,Australia,4.0,2.0
2019,3,Export,"Korea export customs (FOB, USD1000)",0507901110,전지(全枝),Whole stick,홍콩,Hong Kong,30.0,9.0
2019,3,Export,"Korea export customs (FOB, USD1000)",0507901190,기타,Others,홍콩,Hong Kong,494.0,234.0
2019,4,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,뉴질랜드,New Zealand,21977.0,3699.0
2019,4,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,뉴질랜드,New Zealand,6319.0,446.0
2019,4,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,러시아 연방,Russia,3973.0,1015.0
2019,4,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,호주,Australia,2.0,1.0
2019,4,Export,"Korea export customs (FOB, USD1000)",0507901190,기타,Others,홍콩,Hong Kong,873.0,269.0
2019,5,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,뉴질랜드,New Zealand,20591.0,3990.0
2019,5,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,뉴질랜드,New Zealand,37.0,19.0
2019,5,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,러시아 연방,Russia,374.0,97.0
2019,5,Import,"Korea import customs (CIF, USD1000)",0507901110,전지(全枝),Whole stick,중국,China,475.0,95.0
2019,5,Import,"Korea import customs (CIF, USD1000)",0507901190,기타,Others,호주,Australia,6.0,2.0
