Year,Month,Day,Date,Trade,Basis,Importer_KR,Importer_EN,Exporter_EN,Product_name_KR,Product_type_KR,Product_EN,Category,Origin_KR,Origin_EN,Export_country_KR,Export_country_EN
2016,2,23,2016-02-23,Import,Food import clearance (식품 통관),조은생약,JoEun Pharm ,OOO EXPOPANT,녹용,,Deer velvet,Velvet (unspecified),,,,
2016,2,25,2016-02-25,Import,Food import clearance (식품 통관),(주)수식품,Su Food (Mr. Choi),PROVELCO CO OPERATIVE LTD,건녹용,,Deer velvet (dried),Dried,,,,
2016,2,25,2016-02-25,Import,Food import clearance (식품 통관),주식회사 한국인삼공사,KGC,ROKLAND CORPORATION LTD,건녹용,,Deer velvet (dried),Dried,,,,
2016,3,4,2016-03-04,Import,Food import clearance (식품 통관),태안약업(주),Taeahn (Mr. Ahn),ROKLAND CORPORATION LTD,건녹용,,Deer velvet (dried),Dried,,,,
2016,3,24,2016-03-24,Import,Food import clearance (식품 통관),(주)한국인삼공사,KGC,PROVELCO CO OPERATIVE LTD,건녹용,,Deer velvet (dried),Dried,,,,
2016,3,30,2016-03-30,Import,Food import clearance (식품 통관),(주)수식품,Su Food (Mr. Choi),PROVELCO CO OPERATIVE LTD,생녹용,,Deer velvet (frozen),Frozen,,,,
2016,4,14,2016-04-14,Import,Food import clearance (식품 통관),(주)서화제약,SeoHwa Pharm.,GOLDEN FIELD(FAR EAST)LIMITED,건녹용,,Deer velvet (dried),Dried,,,,
2016,4,15,2016-04-15,Import,Food import clearance (식품 통관),(주)루스마르코,Looce Masco,OOO MORAUM-2,건녹용,,Deer velvet (dried),Dried,,,,
2016,4,15,2016-04-15,Import,Food import clearance (식품 통관),(주)한국인삼공사,KGC,ROKLAND CORPORATION LTD,건녹용,,Deer velvet (dried),Dried,,,,
2016,4,25,2016-04-25,Import,Food import clearance (식품 통관),(주)한국인삼공사,KGC,PROVELCO CO OPERATIVE LTD,건녹용,,Deer velvet (dried),Dried,,,,
2016,5,4,2016-05-04,Import,Food import clearance (식품 통관),(주)수식품,Su Food (Mr. Choi),PROVELCO CO OPERATIVE LTD,생녹용,,Deer velvet (frozen),Frozen,,,,
2016,5,16,2016-05-16,Import,Food import clearance (식품 통관),주신제약(주),JooShin Pharm,GUANGTIANDI HONG,녹각,,Hard antlers,Hard antler,,,,
2016,5,20,2016-05-20,Import,Food import clearance (식품 통관),(주)대한녹용수출입법인,"KVIE (Alex, HanPure)","XIFENG MINHE DEER PRODUCTS CO.,LTD",녹용,,Deer velvet,Velvet (unspecified),,,,
2016,5,26,2016-05-26,Import,Food import clearance (식품 통관),(주)한국인삼공사,KGC,PGG WRIGHTSON LTD-VELVET,건녹용,,Deer velvet (dried),Dried,,,,
2016,5,27,2016-05-27,Import,Food import clearance (식품 통관),(주)한국인삼공사,KGC,PROVELCO CO OPERATIVE LTD,녹용,,Deer velvet,Velvet (unspecified),,,,
2016,6,15,2016-06-15,Import,Food import clearance (식품 통관),(주)수식품,Su Food (Mr. Choi),PROVELCO CO OPERATIVE LTD,생녹용,,Deer velvet (frozen),Frozen,,,,
2016,6,20,2016-06-20,Import,Food import clearance (식품 통관),(주)한국인삼공사,KGC,PGG WRIGHTSON LTD-VELVET,건녹용,,Deer velvet (dried),Dried,,,,
