Year,Month,Trade,Basis,HS_Code,Product_EN,Product_KR,Country,Quantity_kg,FOB_NZD
2019,1,Export,"Export customs (FOB, NZD)",0507900002,"Antler/velvet, unworked (excl. powder)",녹각·미가공 녹용,China,11317,1129487
2019,1,Export,"Export customs (FOB, NZD)",0507900011,"Velvet, unworked, frozen",생녹용(냉동),China,63036,5843275
2019,1,Export,"Export customs (FOB, NZD)",0507900012,"Velvet, unworked, dried",녹용(건조),China,549,43820
2019,1,Export,"Export customs (FOB, NZD)",0507900002,"Antler/velvet, unworked (excl. powder)",녹각·미가공 녹용,South Korea,9500,945511
2019,1,Export,"Export customs (FOB, NZD)",0507900011,"Velvet, unworked, frozen",생녹용(냉동),South Korea,7030,689557
2019,1,Export,"Export customs (FOB, NZD)",0507900012,"Velvet, unworked, dried",녹용(건조),South Korea,2957,1334854
2019,1,Export,"Export customs (FOB, NZD)",0507900012,"Velvet, unworked, dried",녹용(건조),Australia,452,38765
2019,1,Export,"Export customs (FOB, NZD)",0507900011,"Velvet, unworked, frozen",생녹용(냉동),Taiwan,2805,225844
2019,1,Export,"Export customs (FOB, NZD)",0507900012,"Velvet, unworked, dried",녹용(건조),Hong Kong,66,5329
2019,1,Export,"Export customs (FOB, NZD)",0507900012,"Velvet, unworked, dried",녹용(건조),USA,180,15625
2019,1,Export,"Export customs (FOB, NZD)",0507900012,"Velvet, unworked, dried",녹용(건조),Japan,284,17289
2019,1,Export,"Export customs (FOB, NZD)",0507900012,"Velvet, unworked, dried",녹용(건조),Singapore,107,7621
2019,2,Export,"Export customs (FOB, NZD)",0507900002,"Antler/velvet, unworked (excl. powder)",녹각·미가공 녹용,China,10374,1447728
2019,2,Export,"Export customs (FOB, NZD)",0507900011,"Velvet, unworked, frozen",생녹용(냉동),China,61563,5435164
2019,2,Export,"Export customs (FOB, NZD)",0507900012,"Velvet, unworked, dried",녹용(건조),China,19,1486
2019,2,Export,"Export customs (FOB, NZD)",0507900002,"Antler/velvet, unworked (excl. powder)",녹각·미가공 녹용,South Korea,7556,732282
2019,2,Export,"Export customs (FOB, NZD)",0507900011,"Velvet, unworked, frozen",생녹용(냉동),South Korea,13325,1315075
2019,2,Export,"Export customs (FOB, NZD)",0507900012,"Velvet, unworked, dried",녹용(건조),South Korea,825,153363
2019,2,Export,"Export customs (FOB, NZD)",0507900012,"Velvet, unworked, dried",녹용(건조),Australia,153,7590
2019,2,Export,"Export customs (FOB, NZD)",0507900012,"Velvet, unworked, dried",녹용(건조),Taiwan,368,24000
2019,2,Export,"Export customs (FOB, NZD)",0507900012,"Velvet, unworked, dried",녹용(건조),Hong Kong,44,3003
2019,2,Export,"Export customs (FOB, NZD)",0507900012,"Velvet, unworked, dried",녹용(건조),USA,462,32621
2019,2,Export,"Export customs (FOB, NZD)",0507900012,"Velvet, unworked, dried",녹용(건조),Canada,114,5996
2019,3,Export,"Export customs (FOB, NZD)",0507900002,"Antler/velvet, unworked (excl. powder)",녹각·미가공 녹용,China,15917,891764
2019,3,Export,"Export customs (FOB, NZD)",0507900011,"Velvet, unworked, frozen",생녹용(냉동),China,66203,3844601
2019,3,Export,"Export customs (FOB, NZD)",0507900002,"Antler/velvet, unworked (excl. powder)",녹각·미가공 녹용,South Korea,6500,650000
2019,3,Export,"Export customs (FOB, NZD)",0507900011,"Velvet, unworked, frozen",생녹용(냉동),South Korea,2000,180000
2019,3,Export,"Export customs (FOB, NZD)",0507900012,"Velvet, unworked, dried",녹용(건조),South Korea,1893,908373
2019,3,Export,"Export customs (FOB, NZD)",0507900012,"Velvet, unworked, dried",녹용(건조),Australia,11,9922
2019,3,Export,"Export customs (FOB, NZD)",0507900011,"Velvet, unworked, frozen",생녹용(냉동),Taiwan,1028,105777
2019,3,Export,"Export customs (FOB, NZD)",0507900012,"Velvet, unworked, dried",녹용(건조),Taiwan,150,59461
2019,3,Export,"Export customs (FOB, NZD)",0507900012,"Velvet, unworked, dried",녹용(건조),Hong Kong,100,645
2019,3,Export,"Export customs (FOB, NZD)",0507900012,"Velvet, unworked, dried",녹용(건조),USA,668,33773
2019,3,Export,"Export customs (FOB, NZD)",0507900012,"Velvet, unworked, dried",녹용(건조),Japan,175,11732
2019,4,Export,"Export customs (FOB, NZD)",0507900002,"Antler/velvet, unworked (excl. powder)",녹각·미가공 녹용,China,13082,795662
2019,4,Export,"Export customs (FOB, NZD)",0507900011,"Velvet, unworked, frozen",생녹용(냉동),China,31622,3630733
2019,4,Export,"Export customs (FOB, NZD)",0507900002,"Antler/velvet, unworked (excl. powder)",녹각·미가공 녹용,South Korea,3992,479021
2019,4,Export,"Export customs (FOB, NZD)",0507900011,"Velvet, unworked, frozen",생녹용(냉동),South Korea,3097,269207
2019,4,Export,"Export customs (FOB, NZD)",0507900012,"Velvet, unworked, dried",녹용(건조),South Korea,3418,1134694
2019,4,Export,"Export customs (FOB, NZD)",0507900002,"Antler/velvet, unworked (excl. powder)",녹각·미가공 녹용,Australia,450,28065
2019,4,Export,"Export customs (FOB, NZD)",0507900012,"Velvet, unworked, dried",녹용(건조),Australia,142,39392
2019,4,Export,"Export customs (FOB, NZD)",0507900012,"Velvet, unworked, dried",녹용(건조),Hong Kong,33,2460
2019,4,Export,"Export customs (FOB, NZD)",0507900012,"Velvet, unworked, dried",녹용(건조),USA,1632,89391
2019,4,Export,"Export customs (FOB, NZD)",0507900012,"Velvet, unworked, dried",녹용(건조),Japan,488,28059
2019,5,Export,"Export customs (FOB, NZD)",0507900002,"Antler/velvet, unworked (excl. powder)",녹각·미가공 녹용,China,7807,549901
2019,5,Export,"Export customs (FOB, NZD)",0507900011,"Velvet, unworked, frozen",생녹용(냉동),China,48129,2877477
2019,5,Export,"Export customs (FOB, NZD)",0507900012,"Velvet, unworked, dried",녹용(건조),China,737,58971
2019,5,Export,"Export customs (FOB, NZD)",0507900011,"Velvet, unworked, frozen",생녹용(냉동),South Korea,768,69098
2019,5,Export,"Export customs (FOB, NZD)",0507900012,"Velvet, unworked, dried",녹용(건조),South Korea,1492,787309
2019,5,Export,"Export customs (FOB, NZD)",0507900002,"Antler/velvet, unworked (excl. powder)",녹각·미가공 녹용,Australia,1947,107706
2019,5,Export,"Export customs (FOB, NZD)",0507900012,"Velvet, unworked, dried",녹용(건조),Australia,188,9141
2019,5,Export,"Export customs (FOB, NZD)",0507900012,"Velvet, unworked, dried",녹용(건조),Taiwan,24,1743
2019,5,Export,"Export customs (FOB, NZD)",0507900012,"Velvet, unworked, dried",녹용(건조),Hong Kong,1645,74829
2019,5,Export,"Export customs (FOB, NZD)",0507900012,"Velvet, unworked, dried",녹용(건조),USA,498,25431
