Year,Month,Trade,Product,Product_KR,Country,Cases,Quantity_kg
2019,1,Import,Dried deer velvet,녹용,China,11,6509.6
2019,1,Import,Dried deer velvet,녹용,Hong Kong,1,353
2019,1,Import,Dried deer velvet,녹용,New Zealand,3,2819.49
2019,1,Import,Dried deer velvet,녹용,Russia,2,1338
2019,1,Import,Frozen deer velvet,생녹용,New Zealand,2,7649.46
2019,2,Import,Dried deer velvet,녹용,China,2,4150
2019,2,Import,Dried deer velvet,녹용,Hong Kong,5,3528.6
2019,2,Import,Dried deer velvet,녹용,New Zealand,3,4578
2019,2,Import,Frozen deer velvet,생녹용,New Zealand,3,14807.02
2019,3,Export,Deer velvet extract,녹용추출물,USA,2,3141.8
2019,3,Import,Dried deer velvet,녹용,China,7,7550.34
2019,3,Import,Dried deer velvet,녹용,Hong Kong,1,400
2019,3,Import,Dried deer velvet,녹용,New Zealand,5,6774.43
2019,3,Import,Frozen deer velvet,생녹용,New Zealand,6,24581.28
2019,4,Export,Deer velvet extract,녹용추출물,USA,1,3286
2019,4,Import,Dried deer velvet,녹용,China,5,3178.3
2019,4,Import,Dried deer velvet,녹용,Hong Kong,4,2026
2019,4,Import,Dried deer velvet,녹용,New Zealand,5,5595.34
2019,4,Import,Dried deer velvet,녹용,Russia,2,3017.16
2019,4,Import,Frozen deer velvet,생녹용,New Zealand,2,4985.86
2019,5,Export,Deer velvet extract,녹용추출물,USA,1,3348
2019,5,Import,Dried deer velvet,녹용,China,12,13226
2019,5,Import,Dried deer velvet,녹용,Hong Kong,2,1074.4
2019,5,Import,Dried deer velvet,녹용,New Zealand,3,3111.18
2019,5,Import,Frozen deer velvet,생녹용,New Zealand,1,767.75
2019,6,Export,Deer velvet extract,녹용추출물,USA,1,3472
2019,6,Import,Dried deer velvet,녹용,China,3,1860
2019,6,Import,Dried deer velvet,녹용,Hong Kong,1,300
2019,6,Import,Dried deer velvet,녹용,New Zealand,3,2560.46
2019,6,Import,Dried deer velvet,녹용,Russia,5,3278.75
2019,6,Import,Dried deer velvet,녹용,Singapore,1,500
2019,6,Import,Frozen deer velvet,생녹용,New Zealand,1,1200
2019,7,Export,Deer velvet extract,녹용추출물,USA,1,3720
2019,7,Import,Dried deer velvet,녹용,China,9,13463.1
2019,7,Import,Dried deer velvet,녹용,Hong Kong,2,2862
2019,7,Import,Dried deer velvet,녹용,New Zealand,1,1433.5
2019,7,Import,Dried deer velvet,녹용,Russia,1,441
2019,7,Import,Frozen deer velvet,생녹용,New Zealand,2,9500
2019,8,Import,Dried deer velvet,녹용,China,3,2680
2019,8,Import,Dried deer velvet,녹용,Hong Kong,2,1030
2019,8,Import,Dried deer velvet,녹용,New Zealand,3,3537.51
2019,8,Import,Dried deer velvet,녹용,Russia,2,520
2019,8,Import,Frozen deer velvet,생녹용,New Zealand,2,11990
2019,9,Import,Dried deer velvet,녹용,China,6,4573.57
2019,9,Import,Dried deer velvet,녹용,Hong Kong,1,621
2019,9,Import,Dried deer velvet,녹용,New Zealand,2,5155.03
2019,9,Import,Dried deer velvet,녹용,Russia,1,234
2019,10,Import,Dried deer velvet,녹용,China,6,4956
2019,10,Import,Dried deer velvet,녹용,Hong Kong,2,1405
2019,10,Import,Dried deer velvet,녹용,Kazakhstan,1,140
2019,10,Import,Dried deer velvet,녹용,New Zealand,1,1155.6
2019,10,Import,Dried deer velvet,녹용,Russia,18,17911.41
2019,10,Import,Frozen deer velvet,생녹용,New Zealand,1,1000
2019,11,Import,Dried deer velvet,녹용,China,5,2826.6
2019,11,Import,Dried deer velvet,녹용,Hong Kong,3,3826
2019,11,Import,Dried deer velvet,녹용,Kazakhstan,2,396
2019,11,Import,Dried deer velvet,녹용,New Zealand,2,1300
2019,11,Import,Dried deer velvet,녹용,Russia,7,9844.03
2019,11,Import,Frozen deer velvet,생녹용,New Zealand,3,7300
2019,12,Export,Deer velvet extract,녹용추출물,USA,2,3410
2019,12,Import,Dried deer velvet,녹용,China,1,700
2019,12,Import,Dried deer velvet,녹용,Hong Kong,1,400
2019,12,Import,Dried deer velvet,녹용,Kazakhstan,1,165
2019,12,Import,Dried deer velvet,녹용,New Zealand,3,6000
2019,12,Import,Dried deer velvet,녹용,Russia,10,9851.65
2019,12,Import,Frozen deer velvet,생녹용,New Zealand,5,15331.6
2020,1,Import,Dried deer velvet,녹용,China,8,7620
2020,1,Import,Dried deer velvet,녹용,Hong Kong,3,2996.2
2020,1,Import,Dried deer velvet,녹용,Kazakhstan,1,667
2020,1,Import,Dried deer velvet,녹용,New Zealand,2,290.1
2020,1,Import,Dried deer velvet,녹용,Russia,2,2262.8
2020,1,Import,Frozen deer velvet,생녹용,New Zealand,3,6630
2020,2,Export,Deer velvet extract,녹용추출물,USA,1,3098.4
2020,2,Import,Dried deer velvet,녹용,China,6,3823
2020,2,Import,Dried deer velvet,녹용,Hong Kong,1,400
2020,2,Import,Dried deer velvet,녹용,New Zealand,5,6919.98
2020,2,Import,Dried deer velvet,녹용,Russia,1,608.1
2020,2,Import,Frozen deer velvet,생녹용,New Zealand,5,15200
2020,3,Export,Deer velvet extract,녹용추출물,USA,1,1478.8
2020,3,Import,Dried deer velvet,녹용,China,5,3970
2020,3,Import,Dried deer velvet,녹용,Hong Kong,2,860
2020,3,Import,Dried deer velvet,녹용,New Zealand,2,2720
2020,3,Import,Dried deer velvet,녹용,Russia,1,336
2020,3,Import,Frozen deer velvet,생녹용,New Zealand,2,9223
2020,4,Export,Deer velvet extract,녹용추출물,USA,1,3410
2020,4,Import,Dried deer velvet,녹용,China,7,7688
2020,4,Import,Dried deer velvet,녹용,Hong Kong,2,2085
2020,4,Import,Frozen deer velvet,생녹용,New Zealand,2,12086.05
2020,5,Export,Deer velvet extract,녹용추출물,USA,1,247.5
2020,5,Import,Dried deer velvet,녹용,China,5,3829
2020,5,Import,Dried deer velvet,녹용,Hong Kong,1,360
2020,5,Import,Dried deer velvet,녹용,New Zealand,5,7824.41
2020,5,Import,Dried deer velvet,녹용,Russia,3,1775.71
2020,5,Import,Frozen deer velvet,생녹용,New Zealand,1,3610
2020,6,Export,Deer velvet extract,녹용추출물,USA,1,247.5
2020,6,Import,Dried deer velvet,녹용,China,10,8451.62
2020,6,Import,Dried deer velvet,녹용,New Zealand,5,5844.956
2020,6,Import,Dried deer velvet,녹용,Russia,2,2114.3
2020,6,Import,Frozen deer velvet,생녹용,New Zealand,2,6321.5
2020,7,Export,Deer velvet extract,녹용추출물,USA,1,4092
2020,7,Import,Dried deer velvet,녹용,China,7,6165
2020,7,Import,Dried deer velvet,녹용,Hong Kong,1,410
2020,7,Import,Dried deer velvet,녹용,New Zealand,3,4256.85
2020,7,Import,Dried deer velvet,녹용,Russia,3,1158
2020,7,Import,Frozen deer velvet,생녹용,New Zealand,3,8906.82
2020,8,Import,Dried deer velvet,녹용,China,9,5536.7
2020,8,Import,Dried deer velvet,녹용,Hong Kong,1,400
2020,8,Import,Dried deer velvet,녹용,New Zealand,4,3988.41
2020,8,Import,Dried deer velvet,녹용,Russia,1,300.1
2020,8,Import,Frozen deer velvet,생녹용,New Zealand,1,4000
2020,9,Export,Deer velvet extract,녹용추출물,USA,1,4774
2020,9,Import,Dried deer velvet,녹용,China,5,5250
2020,9,Import,Dried deer velvet,녹용,Hong Kong,2,689.5
2020,9,Import,Dried deer velvet,녹용,Kazakhstan,2,732.7
2020,9,Import,Dried deer velvet,녹용,Russia,3,1693.9
2020,10,Export,Deer velvet extract,녹용추출물,USA,1,425.25
2020,10,Import,Dried deer velvet,녹용,China,12,7279
2020,10,Import,Dried deer velvet,녹용,Hong Kong,1,1340
2020,10,Import,Dried deer velvet,녹용,Kazakhstan,2,762.75
2020,10,Import,Dried deer velvet,녹용,Russia,17,18701.98
2020,11,Export,Dried deer velvet,녹용,Hong Kong,1,1540.4
2020,11,Export,Deer velvet extract,녹용추출물,USA,2,11321
2020,11,Import,Dried deer velvet,녹용,China,6,6025
2020,11,Import,Dried deer velvet,녹용,Hong Kong,2,750
2020,11,Import,Dried deer velvet,녹용,New Zealand,4,3750.7
2020,11,Import,Dried deer velvet,녹용,Russia,14,16630.86
2020,12,Export,Deer velvet extract,녹용추출물,USA,1,94.5
2020,12,Import,Dried deer velvet,녹용,China,9,12017.99
2020,12,Import,Dried deer velvet,녹용,Hong Kong,2,3410
2020,12,Import,Dried deer velvet,녹용,Kazakhstan,1,191
2020,12,Import,Dried deer velvet,녹용,New Zealand,2,2030.54
2020,12,Import,Dried deer velvet,녹용,Russia,11,8459.7
2020,12,Import,Frozen deer velvet,생녹용,New Zealand,3,11500
2021,1,Import,Dried deer velvet,녹용,China,12,7215
2021,1,Import,Dried deer velvet,녹용,New Zealand,4,1910.17
2021,1,Import,Dried deer velvet,녹용,Russia,1,479
2021,1,Import,Frozen deer velvet,생녹용,New Zealand,5,23775
2021,2,Import,Dried deer velvet,녹용,China,4,2346.36
2021,2,Import,Dried deer velvet,녹용,Hong Kong,1,400
2021,2,Import,Dried deer velvet,녹용,New Zealand,1,1278.38
2021,2,Import,Dried deer velvet,녹용,Russia,2,2179.75
2021,2,Import,Frozen deer velvet,생녹용,New Zealand,2,6300
2021,3,Export,Deer velvet extract,녹용추출물,Australia,1,576
2021,3,Import,Dried deer velvet,녹용,China,9,7977
2021,3,Import,Dried deer velvet,녹용,Hong Kong,1,2800
2021,3,Import,Dried deer velvet,녹용,New Zealand,5,4667.63
2021,3,Import,Dried deer velvet,녹용,Russia,1,981
2021,4,Export,Deer velvet extract,녹용추출물,USA,2,702.75
2021,4,Import,Dried deer velvet,녹용,China,4,5300
2021,4,Import,Dried deer velvet,녹용,Hong Kong,1,400
2021,4,Import,Dried deer velvet,녹용,New Zealand,2,2408.74
2021,4,Import,Dried deer velvet,녹용,Russia,1,313
2021,4,Import,Frozen deer velvet,생녹용,New Zealand,4,15700
2021,5,Export,Deer velvet extract,녹용추출물,Australia,1,682
2021,5,Export,Deer velvet extract,녹용추출물,USA,2,4638.5
2021,5,Import,Dried deer velvet,녹용,China,9,8900
2021,5,Import,Dried deer velvet,녹용,Hong Kong,2,1785.8
2021,5,Import,Dried deer velvet,녹용,New Zealand,4,4557.59
2021,5,Import,Dried deer velvet,녹용,Russia,2,1068
2021,5,Import,Frozen deer velvet,생녹용,New Zealand,2,5500
2021,6,Export,Deer velvet extract,녹용추출물,USA,2,120
2021,6,Import,Dried deer velvet,녹용,Hong Kong,1,400
2021,6,Import,Dried deer velvet,녹용,New Zealand,3,3735.66
2021,6,Import,Frozen deer velvet,생녹용,New Zealand,2,7222.14
2021,7,Export,Deer velvet extract,녹용추출물,Australia,1,180
2021,7,Import,Dried deer velvet,녹용,China,3,2050
2021,7,Import,Dried deer velvet,녹용,New Zealand,2,1938.22
2021,7,Import,Dried deer velvet,녹용,Russia,1,111.25
2021,7,Import,Frozen deer velvet,생녹용,New Zealand,2,5500
2021,8,Export,Deer velvet extract,녹용추출물,Australia,1,192
2021,8,Export,Deer velvet extract,녹용추출물,USA,1,3410
2021,8,Import,Dried deer velvet,녹용,China,6,10141.9
2021,8,Import,Dried deer velvet,녹용,Hong Kong,2,800
2021,8,Import,Dried deer velvet,녹용,New Zealand,2,3466.04
2021,8,Import,Dried deer velvet,녹용,Russia,1,711.75
2021,9,Export,Dried deer velvet,녹용,China,1,10
2021,9,Export,Deer velvet extract,녹용추출물,Australia,1,180
2021,9,Export,Deer velvet extract,녹용추출물,USA,2,1281
2021,9,Import,Dried deer velvet,녹용,China,5,6330
2021,9,Import,Dried deer velvet,녹용,Hong Kong,2,2350
2021,9,Import,Dried deer velvet,녹용,Kazakhstan,3,1288
2021,9,Import,Dried deer velvet,녹용,Russia,3,1829
2021,10,Export,Dried deer velvet,녹용,Hong Kong,1,1772.06
2021,10,Export,Deer velvet extract,녹용추출물,USA,5,13383.25
2021,10,Import,Dried deer velvet,녹용,China,6,5008.89
2021,10,Import,Dried deer velvet,녹용,Hong Kong,3,9097
2021,10,Import,Dried deer velvet,녹용,Kazakhstan,1,140
2021,10,Import,Dried deer velvet,녹용,New Zealand,1,1.5
2021,10,Import,Dried deer velvet,녹용,Russia,14,24864.6
2021,10,Import,Frozen deer velvet,생녹용,New Zealand,2,7377
2021,11,Export,Dried deer velvet,녹용,Hong Kong,1,2003.64
2021,11,Export,Deer velvet extract,녹용추출물,USA,1,36
2021,11,Import,Dried deer velvet,녹용,China,6,8377.425
2021,11,Import,Dried deer velvet,녹용,Hong Kong,3,1638.875
2021,11,Import,Dried deer velvet,녹용,New Zealand,2,160
2021,11,Import,Dried deer velvet,녹용,Russia,13,17976.79
2021,11,Import,Frozen deer velvet,생녹용,New Zealand,2,4500
2021,12,Export,Deer velvet extract,녹용추출물,USA,1,270
2021,12,Import,Dried deer velvet,녹용,China,8,8839.25
2021,12,Import,Dried deer velvet,녹용,Hong Kong,3,2700
2021,12,Import,Dried deer velvet,녹용,Russia,5,5466.05
2021,12,Import,Frozen deer velvet,생녹용,New Zealand,4,16000
2022,1,Export,Deer velvet extract,녹용추출물,Australia,1,460
2022,1,Export,Deer velvet extract,녹용추출물,USA,2,829
2022,1,Import,Dried deer velvet,녹용,China,4,5600
2022,1,Import,Dried deer velvet,녹용,Russia,1,1171.44
2022,1,Import,Frozen deer velvet,생녹용,New Zealand,9,33397.5
2022,2,Export,Deer velvet extract,녹용추출물,USA,3,2341.4
2022,2,Import,Dried deer velvet,녹용,China,4,4548.6
2022,2,Import,Dried deer velvet,녹용,Hong Kong,2,3400
2022,2,Import,Dried deer velvet,녹용,New Zealand,4,4561.89
2022,2,Import,Dried deer velvet,녹용,Russia,1,60
